Time,Underlying,OptionValue,PnL
0,100,10.4506,0
0.01,101.067,11.0754,0.624865
0.02,99.9904,10.3158,-0.134806
0.03,102.796,12.1046,1.65403
0.04,103.806,12.7397,2.28909
0.05,103.579,12.5141,2.06353
0.06,101.728,11.1838,0.7332
0.07,100.76,10.4825,0.0319487
0.08,96.8173,8.02305,-2.42754
0.09,95.0632,7.00142,-3.44917
0.1,95.8413,7.35602,-3.09457
0.11,95.5647,7.14446,-3.30613
0.12,95.7461,7.17941,-3.27118
0.13,94.9589,6.70059,-3.74999
0.14,95.0296,6.67531,-3.77528
0.15,94.835,6.51257,-3.93801
0.16,93.8598,5.96145,-4.48913
0.17,92.4569,5.23825,-5.21233
0.18,92.8964,5.38118,-5.0694
0.19,92.8599,5.30459,-5.14599
0.2,93.1528,5.38044,-5.07014
0.21,92.9857,5.24255,-5.20803
0.22,95.1479,6.23107,-4.21951
0.23,98.888,8.23619,-2.21439
0.24,97.8842,7.58099,-2.8696
0.25,100.13,8.85323,-1.59735
0.26,96.1818,6.50732,-3.94327
0.27,94.115,5.40061,-5.04998
0.28,95.6219,6.08215,-4.36844
0.29,96.367,6.40369,-4.04689
0.3,98.5997,7.5766,-2.87398
0.31,96.3698,6.26891,-4.18168
0.32,95.6565,5.83172,-4.61886
0.33,94.3465,5.12295,-5.32764
0.34,95.4495,5.59196,-4.85862
0.35,94.8062,5.20935,-5.24123
0.36,92.2568,4.00736,-6.44323
0.37,92.4076,4.00739,-6.44319
0.38,91.5861,3.61651,-6.83407
0.39,93.8406,4.49476,-5.95583
0.4,93.5384,4.29526,-6.15533
0.41,93.2458,4.10347,-6.34712
0.42,94.5858,4.63036,-5.82022
0.43,96.8903,5.69132,-4.75926
0.44,95.1768,4.76665,-5.68394
0.45,100.399,7.53035,-2.92023
0.46,102.02,8.47634,-1.97425
0.47,105.457,10.779,0.328393
0.48,106.046,11.1331,0.682476
0.49,106.26,11.2119,0.761345
0.5,107.276,11.9037,1.45307
0.51,108.868,13.0763,2.62571
0.52,105.661,10.5187,0.068084
0.53,104.613,9.67278,-0.777804
0.54,102.894,8.39428,-2.0563
0.55,102.36,7.95313,-2.49746
0.56,102.302,7.82866,-2.62193
0.57,100.717,6.73657,-3.71402
0.58,97.6463,4.91617,-5.53441
0.59,99.0087,5.56425,-4.88634
0.6,100.899,6.58575,-3.86483
0.61,101.28,6.73302,-3.71756
0.62,102.736,7.58426,-2.86632
0.63,103.263,7.84933,-2.60125
0.64,104.672,8.74754,-1.70305
0.65,107.171,10.5433,0.0927259
0.66,106.843,10.1964,-0.254208
0.67,105.242,8.8864,-1.56419
0.68,104.758,8.43574,-2.01484
0.69,107.407,10.3669,-0.0836625
0.7,110.075,12.4899,2.03929
0.71,111.522,13.6663,3.21572
0.72,108.098,10.6505,0.199922
0.73,110.468,12.5711,2.12055
0.74,106.074,8.84152,-1.60907
0.75,107.784,10.1104,-0.34019
0.76,105.821,8.44462,-2.00596
0.77,106.56,8.92328,-1.5273
0.78,105.289,7.82889,-2.6217
0.79,104.731,7.3005,-3.15008
0.8,101.909,5.2208,-5.22978
0.81,103.918,6.48017,-3.97041
0.82,103.825,6.29763,-4.15296
0.83,105.069,7.11221,-3.33838
0.84,108.941,10.2331,-0.217435
0.85,106.756,8.24534,-2.20525
0.86,107.425,8.70692,-1.74366
0.87,107.868,8.98791,-1.46267
0.88,104.882,6.36868,-4.08191
0.89,106.197,7.3247,-3.12588
0.9,106.517,7.48323,-2.96736
0.91,107.321,8.08226,-2.36833
0.92,108.878,9.4225,-1.02808
0.93,110.872,11.2669,0.816337
0.94,107.699,8.12359,-2.32699
0.95,105.692,6.15391,-4.29667
0.96,105.502,5.85582,-4.59476
0.97,102.622,3.20061,-7.24998
0.98,101.805,2.33507,-8.11551
0.99,103.376,3.46465,-6.98593
1,102.698,2.69797,-7.75261
